,linkID,link,title,section,author,frontPageDate,postedDate
72,72,https://www.nairaland.com/5902715/advantages-disadvantages-living-lagos,The Advantages And Disadvantages Of Living In Lagos,Travel,landforeast,2020-06-04 12:23:00,2020-06-04 11:06:00
73,73,https://www.nairaland.com/5902587/george-floyd-tested-positive-covid-19,George Floyd Tested Positive For COVID-19 - Full Autopsy Shows,Health,Freebrowsing12,2020-06-04 11:55:00,2020-06-04 10:13:00
74,74,https://www.nairaland.com/5902711/convicted-rapists-osun-get-life,Convicted Rapists In Osun To Get Life Imprisonment – Speaker,Crime,Aminat508,2020-06-04 11:46:00,2020-06-04 11:04:00
75,75,https://www.nairaland.com/5902695/umahis-cabinet-members-test-positive,Umahi Shuts Government Offices As Cabinet Members Test Positive For Coronavirus,Politics,Wisdomkosi,2020-06-04 11:39:00,2020-06-04 10:59:00
76,76,https://www.nairaland.com/5891593/diary-dogs-pov,A Nairalander Shows Off Her Dog (Photo),Pets,CrazyCrane,2020-06-04 11:11:00,2020-05-30 08:17:00
77,77,https://www.nairaland.com/5902271/new-burial-law-anambra-state,Expensive Burials Over In Anambra: Checkout New Burial Law In Anambra State,Politics,ikorodureporta,2020-06-04 10:55:00,2020-06-04 07:50:00
78,78,https://www.nairaland.com/5902255/cross-river-assembly-rejects-ikpemes,"Again, Cross River Assembly Rejects Ikpeme’s Confirmation As Chief Judge. Post Vacant",Politics,Ctorch,2020-06-04 10:42:00,2020-06-04 07:42:00
79,79,https://www.nairaland.com/5901972/uwa-uniben-sug-nans-ucc,"Uwa: UNIBEN SUG, NANS, UCC, Others For Massive Solidarity March (Photos)",Crime,BleedingPen,2020-06-04 10:31:00,2020-06-04 02:44:00
80,80,https://www.nairaland.com/5902284/dino-melaye-dancing-majek-fasheks,Dino Melaye Dancing As Majek Fashek Sang In Throwback Photo,Celebrities,powerfulguy,2020-06-04 10:15:00,2020-06-04 07:58:00
81,81,https://www.nairaland.com/5902557/10-banks-earn-n22bn-account,10 Banks Earn N22 Billion On Account Maintenance Charges (Names),Business,dre11,2020-06-04 10:05:00,2020-06-04 10:01:00
82,82,https://www.nairaland.com/5902343/lokoja-river-port-cost-n4.112,Lokoja River Port To Cost N4.112 Billion - National Inland Waterways Authority MD,Travel,kogiflame,2020-06-04 10:01:00,2020-06-04 08:25:00
83,83,https://www.nairaland.com/5902194/youre-betrayer-obaseki-tackles-oshiomhole,"""You Are A Betrayer"" - Obaseki Tackles Oshiomhole",Politics,Crownbefitsme,2020-06-04 09:41:00,2020-06-04 07:03:00
84,84,https://www.nairaland.com/5902346/wadume-agf-malami-takes-over,"AGF Malami Takes Over Prosecution Of Taraba Kidnap Kingpin, Wadume",Crime,engineerboat,2020-06-04 09:29:00,2020-06-04 08:26:00
85,85,https://www.nairaland.com/5902348/evangelist-bamidele-isola-olumilua-dead,"Ex-Ondo Governor, Evangelist Bamidele Olumilua Is Dead",Politics,omoilewa,2020-06-04 09:11:00,2020-06-04 08:27:00
86,86,https://www.nairaland.com/5901292/ffk-tinubu-not-get-apc,"""Tinubu Will Not Get The APC Presidential Ticket In 2023"" - FFK",Politics,maupe,2020-06-04 08:58:00,2020-06-03 18:28:00
87,87,https://www.nairaland.com/5902225/major-k-yakubu-killed-boko,Major Yakubu Killed By Boko Haram After Faulty Vehicle (Photo),Politics,nairafame2,2020-06-04 08:24:00,2020-06-04 07:22:00
88,88,https://www.nairaland.com/5901758/declare-rape-national-crisis-amnesty,Declare Rape National Crisis - Amnesty Tells Buhari,Crime,valentineuwakwe,2020-06-04 08:00:00,2020-06-03 23:11:00
89,89,https://www.nairaland.com/5902131/five-aspirants-battle-obaseki-apc,Five Aspirants To Battle Obaseki For APC Ticket,Politics,Shegunsmart,2020-06-04 07:52:00,2020-06-04 06:01:00
90,90,https://www.nairaland.com/5900985/olusegun-bamgbose-considering-yusuf-buhari,"""I’m Considering Yusuf Buhari As My Running Mate In 2023"" - Bamgbose",Politics,ganisucks,2020-06-04 07:42:00,2020-06-03 15:45:00
91,91,https://www.nairaland.com/5902064/quality-roads-constructed-governor-yahaya,Quality Roads Constructed By Governor Yahaya In Gombe (Photos),Politics,vigopress,2020-06-04 07:30:00,2020-06-04 04:04:00
92,92,https://www.nairaland.com/5902142/edo-polls-oshiomhole-insists-direct,"Edo Polls: Oshiomhole Insists On Direct Primaries, Writes INEC",Politics,Crownbefitsme,2020-06-04 06:34:00,2020-06-04 06:20:00
93,93,https://www.nairaland.com/5902039/enugu-state-ministry-health-releases,Enugu State Ministry Of Health Releases Details Of COVID-19 Cases In Enugu State,Health,NwekeUG,2020-06-04 06:19:00,2020-06-04 03:36:00
94,94,https://www.nairaland.com/5901871/trump-why-taken-white-house,Trump: Why I Was Taken To White House Underground Bunker,Politics,sesameq,2020-06-04 06:08:00,2020-06-04 00:49:00
95,95,https://www.nairaland.com/5901719/bua-reopens-bua-ports-terminals,BUA Reopens BUA Ports And Terminals For Business,Business,aminulive,2020-06-04 06:04:00,2020-06-03 22:49:00
96,96,https://www.nairaland.com/5901485/apc-wont-give-preferential-treatment,We Won't Give Preferential Treatment To Any Aspirant In Edo - APC,Politics,bolaayenimo,2020-06-04 05:51:00,2020-06-03 20:14:00
97,97,https://www.nairaland.com/5901405/five-states-get-148-billion,Five States To Get ₦148 Billion Reimbursement For Repairing Federal Roads,Politics,fergie006,2020-06-04 05:43:00,2020-06-03 19:33:00
98,98,https://www.nairaland.com/5900821/lagos-receives-1000-land-grabbing,"Lagos Receives 1,000 Land Grabbing Petitions In One Year",Properties,BrandSpurNG,2020-06-04 05:10:00,2020-06-03 14:34:00
99,99,https://www.nairaland.com/5898159/peak-milk-celebrates-world-milk,"Peak Milk Celebrates World Milk Day, Visits Isolation Centers",Health,Qtsnow,2020-06-04 05:09:00,2020-06-02 11:37:00
100,100,https://www.nairaland.com/5900640/serap-drags-buhari-nass-un,"SERAP Drags Buhari, NASS To UN Over Cuts In Health, UBE Budgets",Politics,Tobbydhayor90,2020-06-04 04:56:00,2020-06-03 13:13:00
101,101,https://www.nairaland.com/5897023/sister-in-law-tried-scam-me,"""My Sister-In-Law Tried To Scam Me""",Family,Amya,2020-06-03 22:07:00,2020-06-01 20:25:00
102,102,https://www.nairaland.com/5901146/railway-commissioned-soon-photos,The Newly Completed Itakpe Rail Station At Night (Photos),Travel,Aonkuuse,2020-06-03 22:01:00,2020-06-03 17:04:00
103,103,https://www.nairaland.com/5901074/4-year-old-girl-narrates-how-she,4-Year-Old Girl Narrates How She Was Defiled By Her School Teacher (Video),Crime,Medtelly,2020-06-03 21:59:00,2020-06-03 16:35:00
104,104,https://www.nairaland.com/5901596/john-boyega-begs-black-men,John Boyega Breaks Down In Tears As He Begs Black Men To Take Care Of Black Women,Celebrities,made4naijamusic,2020-06-03 21:38:00,2020-06-03 21:24:00
105,105,https://www.nairaland.com/5899223/pictures-nnamdi-azikiwe-university-awka,"Pictures Of Nnamdi Azikiwe University, Awka",Education,AmericanQuarter,2020-06-03 21:19:00,2020-06-02 21:05:00
106,106,https://www.nairaland.com/5901127/davido-changes-phone-number-gives,"Davido Changes His Phone Number, Gives Reason",Celebrities,romeoetin,2020-06-03 21:01:00,2020-06-03 16:56:00
107,107,https://www.nairaland.com/5899342/pictures-rivers-state-university,Pictures Of Rivers State University,Education,Donsheddy,2020-06-03 20:57:00,2020-06-02 22:00:00
108,108,https://www.nairaland.com/5901099/been-withdrawn-medical-school-cant,"""I Have Been Withdrawn From Medical School. I Can't Tell My Parents""",Education,sagna112,2020-06-03 20:50:00,2020-06-03 16:45:00
109,109,https://www.nairaland.com/5901243/ekiti-ritualists-murder-78-year-old-widow,"Ritualists Murder 78-Year-Old Widow In Ekiti, Drain Her Blood, Remove Vital Organs",Crime,ijustdey,2020-06-03 20:30:00,2020-06-03 18:01:00
110,110,https://www.nairaland.com/5901133/does-living-among-rich-affect,"Does Living Among The Rich Affect One's Social Mobility, Finances?",Family,covid2019,2020-06-03 20:23:00,2020-06-03 16:59:00
111,111,https://www.nairaland.com/5901432/police-free-42-year-old-yobe-rapist,Anger As Police Free 42-Year-Old Rapist Who Raped 7-Year-Old Girl In Yobe,Crime,powerfulguy,2020-06-03 20:06:00,2020-06-03 19:46:00
112,112,https://www.nairaland.com/5901347/osimhen-wins-player-year-award,Osimhen Wins Player Of The Year Award,Sports,robosky02,2020-06-03 19:48:00,2020-06-03 18:57:00
113,113,https://www.nairaland.com/5900990/buhari-osinbajo-pictured-fec-meeting,Buhari &amp Osinbajo Pictured At FEC Meeting At The State House Council Chambers,Politics,powerfulguy,2020-06-03 19:46:00,2020-06-03 15:48:00
114,114,https://www.nairaland.com/5901324/orji-uzor-kalu-out-kuje,Senator Orji Uzor Kalu Out Of Kuje Prison (Photos),Politics,BleedingPen,2020-06-03 19:16:00,2020-06-03 18:42:00
115,115,https://www.nairaland.com/5899581/pictures-landmark-university-omu-aran-kwara,Checkout How Beautiful Landmark University In Kwara State Looks (Pics),Education,angelEmade,2020-06-03 18:46:00,2020-06-03 02:00:00
116,116,https://www.nairaland.com/5901252/innocent-ilo-wins-2020-commonwealth,Nigerian Writer Wins 2020 Commonwealth Short-Story For African Region,Literature,Anambra1stSon,2020-06-03 18:39:00,2020-06-03 18:05:00
117,117,https://www.nairaland.com/5901218/governor-zulum-suspends-all-hospital,Governor Zulum Suspends All Hospital Staff For Abandoning Patients In Borno,Health,Islie,2020-06-03 18:12:00,2020-06-03 17:46:00
118,118,https://www.nairaland.com/5901186/edo-primaries-obaseki-returns-nomination,"Edo Primaries: Obaseki Returns Nomination Form, Warns Oshiomhole To Stay Away (Pics)",Politics,Kwanza,2020-06-03 17:39:00,2020-06-03 17:23:00
119,119,https://www.nairaland.com/5901169/community-policing-takes-off-lagos,Community Policing Takes Off In Lagos As Sanwo-Olu Inaugurates Operation Teams,Politics,oshozondii,2020-06-03 17:26:00,2020-06-03 17:15:00
120,120,https://www.nairaland.com/5901020/peruzzis-old-tweets-rape-emerge,Peruzzi's Old Tweets About Rape Emerge Online,Crime,Hookups,2020-06-03 17:19:00,2020-06-03 16:06:00
121,121,https://www.nairaland.com/5900979/rape-accusation-aisha-defends-peruzzi,"Lady Whose Name Was Mentioned As A Witness By Peruzzi's Rape Accuser, Defends Him",Crime,made4naijamusic,2020-06-03 16:42:00,2020-06-03 15:43:00
122,122,https://www.nairaland.com/5899731/kanayo-o-kanayo-stella-damasus,Throwback Photo Of Kanayo O Kanayo And Stella Damasus,Romance,Kriss216,2020-06-03 16:22:00,2020-06-03 05:34:00
123,123,https://www.nairaland.com/5900682/tony-trace-abu-zaria-raped,ABU Zaria Student Accused Of Raping 72 Girls,Crime,Traww,2020-06-03 16:16:00,2020-06-03 13:38:00
124,124,https://www.nairaland.com/5900861/kiki-osinbajo-advocates-right-female,"VP's Daughter, Kiki Osinbajo Advocates Rights Of Female Gender At All Level",Politics,AlexReports,2020-06-03 15:29:00,2020-06-03 14:51:00
125,125,https://www.nairaland.com/5846153/funny-programming-memes-just-laughs,Funny Programming Memes,Programming,crownedrookie,2020-06-03 15:23:00,2020-05-09 12:43:00
126,126,https://www.nairaland.com/5900485/nigerians-cameroonians-clash-dubai-over,Nigerians &amp Cameroonians Clash In Dubai ‘Over Beer Price’. 2 Killed,Crime,Islie,2020-06-03 15:14:00,2020-06-03 12:00:00
127,127,https://www.nairaland.com/5900745/fg-announces-five-airports-reopened,FG Announces Five Airports To Be Reopened By June 21,Travel,NwekeUG,2020-06-03 15:04:00,2020-06-03 14:02:00
128,128,https://www.nairaland.com/5900504/herdsmen-invade-southern-kaduna-kill,"Herdsmen Invade Southern Kaduna, Kill Women, Children (Graphic Photos)",Crime,powerfulguy,2020-06-03 14:53:00,2020-06-03 12:07:00
129,129,https://www.nairaland.com/5899469/241-new-covid-19-cases-117,"241 New COVID-19 Cases, 117 Discharged And 15 Deaths On June 2 - (3916 Tested)",Health,References,2020-06-03 14:18:00,2020-06-02 23:38:00
130,130,https://www.nairaland.com/5900725/peruzzi-accused-rape-princes-jayamah,"""How Peruzzi Raped Me"" -  Lady Accuses Singer. He Reacts",Crime,lalasticlala,2020-06-03 14:02:00,2020-06-03 13:56:00
131,131,https://www.nairaland.com/5900646/khafi-kareem-raped-why-didnt,"""I Was Raped. Why I Didn't Report My Rapist"" - BBNaija Star, Khafi Reveals",Crime,lalasticlala,2020-06-03 13:21:00,2020-06-03 13:19:00
132,132,https://www.nairaland.com/5900357/armed-robber-killed-elelewon-port,Armed Robber Killed In Port Harcourt (Graphic Photos),Crime,BSMS,2020-06-03 13:09:00,2020-06-03 11:07:00
